conf_num z qprop_value
3 6 (0.0008316686678257614+9.7866737558396e-06j)
3 7 (0.000312203655760055+2.1944983101236278e-06j)
3 8 (0.00012649746543661546-7.500857947369254e-07j)
3 9 (5.1176977731949114e-05-1.510617783920064e-07j)
3 10 (2.1312228564828866e-05+2.807622550512318e-07j)
3 11 (9.114847280574397e-06+1.3591819426263032e-07j)
3 12 (4.118538836322002e-06+1.320334655186376e-07j)
3 13 (1.8876704131206688e-06+4.743853722884021e-08j)
3 14 (8.625401806460544e-07-7.515051821186186e-09j)
3 15 (4.110205992996011e-07-3.264681226299053e-08j)
3 16 (1.8640914990189418e-07-2.2925397752663553e-08j)
3 17 (8.6118803667971e-08-1.1300261235308367e-08j)
3 18 (3.9470010379249584e-08-5.449139668319619e-09j)
3 19 (1.8096551905578964e-08-2.4220347248157187e-09j)
3 20 (7.454071070110073e-09-1.1965165490925155e-09j)
3 21 (3.505206801922805e-09-7.242397986640368e-10j)
3 22 (1.830580071040616e-09-3.7076749315229416e-10j)
3 23 (8.066002607236603e-10-1.7974399166178347e-10j)
3 24 (7.69901352809286e-11-7.154179728216554e-11j)
3 25 (-7.4924687047175e-10+5.0621408196217575e-11j)
3 26 (-2.0606613798651164e-09+2.0613478862751774e-10j)
3 27 (-4.350687080471877e-09+7.514604259533394e-10j)
3 28 (-9.42260490768873e-09+1.5048306039501287e-09j)
3 29 (-1.9237104270879445e-08+1.2957295645727074e-10j)
3 30 (-4.290341703820619e-08-3.389313907313122e-10j)
3 31 (-9.809957256610529e-08-1.189106912944913e-09j)
3 32 (-2.1037479118599484e-07+2.8371329286885053e-09j)
3 33 (-4.100880271373169e-07+1.6609799045178944e-08j)
3 34 (-8.626984603311254e-07+2.3662941601814546e-08j)
3 35 (-2.008787976508766e-06+6.258911789677608e-08j)
3 36 (-4.689398886942566e-06+5.3262812804944725e-08j)
3 37 (-1.0838984353781358e-05+1.2437405347984478e-07j)
3 38 (-2.4122214969070363e-05+5.506102424660665e-07j)
3 39 (-5.7038288063871515e-05+1.564253561919577e-06j)
3 40 (-0.00013396244994471522+1.9809425401801238e-06j)
3 41 (-0.00032986446919910174+3.7049192252690444e-06j)
3 42 (-0.0008732894546318594+1.3718375610182238e-05j)
